query_substancia,match_removido,n_rcms,tipo,decisao
hydrochlorothiazide,chlorothiazide,22,,
ethinylestradiol,estradiol,21,,
etinilestradiol,estradiol,21,,
ethinylestradiol + gestodene,estradiol,5,,
etinilestradiol + gestodeno,estradiol,5,,
drospirenone + ethinylestradiol,estradiol,4,,
drospirenona + etinilestradiol,estradiol,4,,
escitalopram,citalopram,3,,
esomeprazole,omeprazole,3,,
gestodene + ethinylestradiol,estradiol,3,,
gestodeno + etinilestradiol,estradiol,3,,
naproxen,desmethylnaproxen,3,,
omeprazole,esomeprazole,3,,
omeprazol,esomeprazole,3,,
pseudoephedrine,ephedrine,2,,
candesartan cilexetil + hydrochlorothiazide,chlorothiazide,2,,
cyproterone acetate + ethinylestradiol,estradiol,2,,
acetato de ciproterona + etinilestradiol,estradiol,2,,
irbesartan + hydrochlorothiazide,chlorothiazide,2,,
venlafaxine,desvenlafaxine,2,,
enalapril maleate + hydrochlorothiazide,chlorothiazide,2,,
tramadol,o-desmethyltramadol,2,,
lansoprazole,dexlansoprazole,2,,
lansoprazol,dexlansoprazole,2,,
desogestrel + etinilestradiol,estradiol,2,,
olmesartan medoxomil + hydrochlorothiazide,chlorothiazide,2,,
pseudoephedrine + triprolidine,ephedrine,1,,
amiloride + hydrochlorothiazide,chlorothiazide,1,,
ethinylestradiol + chloromadinone acetate,estradiol,1,,
etinilestradiol + acetato de cloromadinona,estradiol,1,,
clobazam,norclobazam,1,,
cilazapril + hydrochlorothiazide,chlorothiazide,1,,
ciprofloxacin hydrochloride,ofloxacin,1,,
cloridrato de ciprofloxacina,ofloxacin,1,,
citalopram,escitalopram,1,,
valsartan + hydrochlorothiazide,chlorothiazide,1,,
losartan potassium + hydrochlorothiazide,chlorothiazide,1,,
dienogest + ethinylestradiol,estradiol,1,,
dienogest + etinilestradiol,estradiol,1,,
codeine,dihydrocodeine,1,,
hydrochlorothiazide + triamterene,chlorothiazide,1,,
fosinopril sodium + hydrochlorothiazide,chlorothiazide,1,,
prednisolone,methylprednisolone,1,,
lisinopril dihydrate + hydrochlorothiazide,chlorothiazide,1,,
losartan + hydrochlorothiazide,chlorothiazide,1,,
methylprednisolone,prednisolone,1,,
telmisartan + hydrochlorothiazide,chlorothiazide,1,,
ethinylestradiol + levonorgestrel,estradiol,1,,
etinilestradiol + levonorgestrel,estradiol,1,,
hydrochlorothiazide + amiloride chloride,chlorothiazide,1,,
etonogestrel + ethinylestradiol,estradiol,1,,
etonogestrel + etinilestradiol,estradiol,1,,
hydroxychloroquine sulfate,chloroquine,1,,
medroxyprogesterone acetate,progesterone,1,,
sirolimus,temsirolimus,1,,
paracetamol + pseudoephedrine,ephedrine,1,,
trimipramine,imipramine,1,,
tamoxifen,N-desmethyltamoxifen,1,,
cetazolam,acetazolamide,1,,
ethinylestradiol + dienogest,estradiol,1,,
etinilestradiol + dienogest,estradiol,1,,
naproxen + esomeprazole,omeprazole,1,,
lisinopril + hydrochlorothiazide,chlorothiazide,1,,
