categoria,classe,entradas,mencoes,pct_mencoes
alelo,HLA sem dois pontos (forma antiga),4,458,52.1
alelo,alelo estrela valido,23,355,40.4
alelo,letra em vez de numero (invalido),1,32,3.6
alelo,HLA com dois pontos (forma actual),3,27,3.1
alelo,HLA incompleto (serotipo),2,6,0.7
alelo,"variante HGVS, nao alelo",1,1,0.1
diplotipo,genotipo em HGVS (c.NNN + bases),10,277,48.5
diplotipo,diplotipo valido,13,133,23.3
diplotipo,gene + bases (sem c.),4,102,17.9
diplotipo,"bases soltas, sem gene",4,36,6.3
diplotipo,improvisacao (*base*base),4,23,4.0
