documento,status,chars,pages,chars_per_page,word_density,letter_fraction,reason
10020_Fenolip,corrupt,258441,6,43073.5,0.3,0.037,0.30 palavras comuns por 1000 caracteres — texto extraído não é português legível
16403_Ceftriaxona_Labesfal_1000_mg_Pó_e_Solvente_para_Solução_Injectável_IV_MG,corrupt,301915,23,13126.7,0.47,0.035,0.47 palavras comuns por 1000 caracteres — texto extraído não é português legível
29577_Ceftriaxona_Mesporin_2_g_Pó_para_Solução_para_Perfusão_IVMG,corrupt,298370,21,14208.1,1.11,0.108,1.11 palavras comuns por 1000 caracteres — texto extraído não é português legível
3277_Zoref,corrupt,351345,22,15970.2,1.1,0.12,1.10 palavras comuns por 1000 caracteres — texto extraído não é português legível
35240_Formoterol_Generis_12_µg_Pó_para_Inalação_Cápsulas_DurasMG,corrupt,336883,16,21055.2,1.3,0.124,1.30 palavras comuns por 1000 caracteres — texto extraído não é português legível
36050_Indapamida_GP_2_5_mg_Comprimidos_revestidosMG,corrupt,67071,12,5589.2,2.74,0.292,2.74 palavras comuns por 1000 caracteres — texto extraído não é português legível
36964_Ben-u-ron,corrupt,56615,10,5661.5,16.92,0.332,apenas 33% do texto são letras — extração provavelmente corrompida
37422_Sertralina_CiclumMG,corrupt,114145,19,6007.6,2.88,0.134,2.88 palavras comuns por 1000 caracteres — texto extraído não é português legível
38098_Cefuroxima_RatiopharmMG,corrupt,303712,15,20247.5,0.7,0.073,0.70 palavras comuns por 1000 caracteres — texto extraído não é português legível
40164_Tobradex,corrupt,224695,12,18724.6,0.81,0.09,0.81 palavras comuns por 1000 caracteres — texto extraído não é português legível
40314_EstinetteMG,corrupt,235241,25,9409.6,1.95,0.134,1.95 palavras comuns por 1000 caracteres — texto extraído não é português legível
40350_Aceclofenac_MylanMG,corrupt,74895,13,5761.2,5.33,0.293,apenas 29% do texto são letras — extração provavelmente corrompida
41757_Advagraf,corrupt,394970,62,6370.5,2.07,0.098,2.07 palavras comuns por 1000 caracteres — texto extraído não é português legível
47296_Rivastigmina_MylanMG,corrupt,246931,17,14525.4,2.19,0.112,2.19 palavras comuns por 1000 caracteres — texto extraído não é português legível
49060_Rivastigmina_toLifeMG,corrupt,252537,18,14029.8,2.04,0.117,2.04 palavras comuns por 1000 caracteres — texto extraído não é português legível
52384_Pioglitazona_AtrolexMG,corrupt,71800,18,3988.9,4.19,0.303,apenas 30% do texto são letras — extração provavelmente corrompida
52396_Pioglitazona_FarmozMG,corrupt,78533,18,4362.9,3.0,0.222,apenas 22% do texto são letras — extração provavelmente corrompida
54024_Rivastigmina_BluepharmaMG,corrupt,227952,15,15196.8,1.41,0.066,1.41 palavras comuns por 1000 caracteres — texto extraído não é português legível
55031_Rivastigmina_AurobindoMG,corrupt,204507,15,13633.8,1.73,0.115,1.73 palavras comuns por 1000 caracteres — texto extraído não é português legível
582401_Adempas,corrupt,441584,91,4852.6,1.62,0.063,1.62 palavras comuns por 1000 caracteres — texto extraído não é português legível
